Country_code,Country,Cumulative_cases,Cumulative_deaths,population,death_per_10k,share_of_vaccinated,income_support,lockdown,mask_mandate
AL,Albania,244182,3292,2793592,11.784111638349481,37.55,1,0,3
AD,Andorra,33025,144,79535,18.105236688250457,66.51,2,0,4
AT,Austria,1579059,16973,8978929,18.9031453528589,72.56,2,0,2
AZ,Azerbaijan,632034,8597,10156366,8.464641782306781,45.66,1,2,2
BE,Belgium,2791817,28814,11617623,24.80197541269845,76.12,0,0,3
BA,Bosnia and Herzegovina,332193,14005,3464384,40.42565720197299,22.29,0,1,3
BG,Bulgaria,877381,32636,6482484,50.344898653047196,29.14,2,0,2
HR,Croatia,869965,13371,3862305,34.61922349477838,54.51,0,0,2
CY,Cyprus,231382,724,904705,8.002608585118907,69.61,2,0,3
CZ,Czech,2823888,37211,10516707,35.38274861132862,64.39,2,0,2
DK,Denmark,1355815,3596,5873420,6.122497624893163,79.59,0,0,2
EE,Estonia,281384,1919,1331796,14.409113708105446,63.27,0,2,2
FI,Finland,539681,2362,5548241,4.257205121406947,73.96,1,0,1
FR,France,15955822,130121,67957053,19.14753425225782,75.6,1,0,3
GE,Georgia,1051445,14651,3688647,39.7191707420092,32.24,0,0,4
DE,Germany,8843560,121151,83237124,14.5549238342257,73.2,2,0,2
GR,Greece,1805925,22794,10459782,21.79204117255981,69.98,2,2,3
HU,Hungary,1401457,40822,9610403,42.47688676531047,61.01,2,0,3
IS,Iceland,49985,41,376248,1.0897067891390786,76.61,2,0,2
IE,Ireland,1138868,6317,5154277,12.255841119908768,77.66,2,0,2
IT,Italy,9781191,143296,59030133,24.275059654702115,77.33,1,0,3
XK,Kosovo,178446,2987,1773971,16.837930270562484,44.96,0,0,3
LV,Latvia,335539,5141,1875757,27.40760130443336,69.33,1,0,3
LT,Lithuania,623752,7765,2805998,27.672863629981205,67.46,2,0,2
LU,Luxembourg,147461,673,645397,10.427690243369584,5.85,1,0,2
MT,Malta,66063,553,520174,10.631058069030747,83.44,2,0,3
NL,Netherlands,4072733,21299,17590672,12.108121850035063,67.42,2,1,3
NO,Norway,630772,1503,5425270,2.7703690323246586,73.28,2,0,2
PL,Poland,4519183,103848,36889761,28.150900733675122,54.17,2,0,3
PT,Portugal,2299681,19621,10421117,18.828116026333838,83.5,0,0,3
RO,Romania,2003041,59525,19042455,31.259099732676276,40.41,2,1,3
SM,San Marino,11869,107,33698,31.752626268621285,64.52,0,0,3
RS,Serbia,1532741,13239,6797105,19.477409867877576,47.14,2,0,3
SK,Slovakia,917918,17643,5434712,32.46354176633463,44.79,2,0,3
SI,Slovenia,612200,6345,2107180,30.11133363072922,56.9,1,0,3
ES,Spain,9589911,96008,47486843,20.21781064704596,80.41,2,0,4
SE,Sweden,1863380,15891,10452326,15.203314554100206,70.13,1,0,1
TR,TÃ¼rkiye,10881626,85645,84680273,10.113925825439889,61.24,0,0,4
UA,Ukraine,3828095,96719,40997698,23.59132456656469,36.49,1,2,3
